,Marka,Model,EAN,RAM,Flash,SIMM,Kolor,mgsm,source
1,Samsung,GT-B2710,8806071114118,null,50 MB,1,null,null,https://www.euro.com.pl/telefony-komorkowe/samsung-solid-b2710.bhtml#afterSearch-8806071114118||||product
2,Samsung,GT-S3350,8806071464107,null,null,null,null,null,null
3,MaxCom,MM820,5908235972565,null,null,null,null,https://www.mgsm.pl/pl/katalog/MaxCom/MM820/,null
4,Emporia,SolidPlus,9005613115654,null,null,null,null,https://www.mgsm.pl/pl/katalog/Emporia/SolidPlus/,null
5,myPhone,1045 Simply+,5900495230461,null,null,null,null,null,null
6,myPhone,1045 Simply+,5900495222190,null,null,1,null,null,https://www.euro.com.pl/telefony-komorkowe/myphone-1045-simply-czarny.bhtml#afterSearch-5900495222190||||product
7,myPhone,1045 Simply+,5900495222206,null,null,1,null,null,https://www.euro.com.pl/telefony-komorkowe/myphone-1045-simply-bialo-szary.bhtml#afterSearch-5900495222206||||product
8,myPhone,1082 Elegant,5900495222213,null,null,1,null,https://www.mgsm.pl/pl/katalog/myPhone/1082Elegant/,https://www.euro.com.pl/telefony-komorkowe/myphone-1082-elegant-czarno-srebrny.bhtml#afterSearch-5900495222213||||product
9,Alcatel,OT 815D,6958026815822,poniżej 512 MB,40 MB,2,null,https://www.mgsm.pl/pl/katalog/Alcatel/OT815D/,https://www.euro.com.pl/telefony-komorkowe/alcatel-ot-815d-czarny.bhtml#afterSearch-6958026815822||||product
10,Nokia,105,6438158585133,null,null,null,null,https://www.mgsm.pl/pl/katalog/Nokia/105/,null
11,Nokia,Lumia 520,6438158572720,0.5 GB,8 GB,1,null,https://www.mgsm.pl/pl/katalog/Nokia/Lumia520/,https://www.euro.com.pl/telefony-komorkowe/nokia-lumia-520-czarny.bhtml#afterSearch-6438158572720||||product
12,Samsung,Galaxy S IV i9505,8806085594784,2 GB,16 GB,1,null,https://www.mgsm.pl/pl/katalog/Samsung/GalaxySIVi9505/,https://www.euro.com.pl/telefony-komorkowe/samsung-galaxy-s4.bhtml#afterSearch-8806085594784||||product
13,Alcatel,2005D,6958026890621,poniżej 512 MB,null,2,null,https://www.mgsm.pl/pl/katalog/Alcatel/2005D/,https://www.euro.com.pl/telefony-komorkowe/alcatel-ot-2005d-bialo-czerwony.bhtml#afterSearch-6958026890621||||product
14,Alcatel,2005D,6958026831693,null,null,2,null,https://www.mgsm.pl/pl/katalog/Alcatel/2005D/,https://www.euro.com.pl/telefony-komorkowe/alcatel-ot-2005d-czarny.bhtml#afterSearch-6958026831693||||product
15,Alcatel,2005D,6958026831907,poniżej 512 MB,null,2,null,https://www.mgsm.pl/pl/katalog/Alcatel/2005D/,https://www.euro.com.pl/telefony-komorkowe/alcatel-onetouch-2005d-turkusowy.bhtml#afterSearch-6958026831907||||product
16,Alcatel,2010,6958026897828,null,null,null,null,https://www.mgsm.pl/pl/katalog/Alcatel/2010/,null
17,Alcatel,2010,6958026897842,poniżej 512 MB,128 MB,1,null,https://www.mgsm.pl/pl/katalog/Alcatel/2010/,https://www.euro.com.pl/telefony-komorkowe/alcatel-ot-2010-bialo-czerwony.bhtml#afterSearch-6958026897842||||product
18,Nokia,106,6438158619999,null,null,null,null,https://www.mgsm.pl/pl/katalog/Nokia/106/,null
19,Sony,Xperia Z1 C6903,7311271436041,null,null,null,null,https://www.mgsm.pl/pl/katalog/Sony/XperiaZ1C6903/,null
20,Apple,iPhone 5s 32GB,885909781744,null,null,null,null,https://www.mgsm.pl/pl/katalog/Apple/iPhone5s32GB/,null
21,Apple,iPhone 5s 32GB,885909782253,null,null,null,null,https://www.mgsm.pl/pl/katalog/Apple/iPhone5s32GB/,null
22,Apple,iPhone 5s 32GB,885909781959,null,null,null,null,https://www.mgsm.pl/pl/katalog/Apple/iPhone5s32GB/,null
23,Apple,iPhone 5s 16GB,885909784462,null,null,null,null,https://www.mgsm.pl/pl/katalog/Apple/iPhone5s16GB/,null
24,Apple,iPhone 5s 16GB,885909784769,null,null,null,null,https://www.mgsm.pl/pl/katalog/Apple/iPhone5s16GB/,null
25,Apple,iPhone 5s 16GB,885909785063,null,null,null,null,https://www.mgsm.pl/pl/katalog/Apple/iPhone5s16GB/,null
26,Samsung,Galaxy Note 3 LTE,8806085827509,null,null,null,null,https://www.mgsm.pl/pl/katalog/Samsung/GalaxyNote3LTE/,null
27,Samsung,Galaxy Note 3 LTE,8806085827516,3 GB,32 GB,1,null,https://www.mgsm.pl/pl/katalog/Samsung/GalaxyNote3LTE/,https://www.euro.com.pl/telefony-komorkowe/samsung-galaxy-note-iii-n9005-bialy.bhtml#afterSearch-8806085827516||||product
28,Alcatel,One Touch Idol Alpha,4894461119915,1 GB,16 GB,1,null,https://www.mgsm.pl/pl/katalog/Alcatel/OneTouchIdolAlpha/,https://www.euro.com.pl/telefony-komorkowe/alcatel-ot-6032x-idol-aplha-zloty.bhtml#afterSearch-4894461119915||||product
29,Nokia,108,6438158620124,poniżej 512 MB,null,2,null,https://www.mgsm.pl/pl/katalog/Nokia/108/,https://www.euro.com.pl/telefony-komorkowe/nokia-108-czerwony.bhtml#afterSearch-6438158620124||||product
30,Nokia,108,6438158620155,null,null,null,null,https://www.mgsm.pl/pl/katalog/Nokia/108/,null
31,Apple,iPhone 4S 8GB,885909833108,null,null,null,null,https://www.mgsm.pl/pl/katalog/Apple/iPhone4S8GB/,null
32,Apple,iPhone 4S 8GB,885909833696,null,null,null,null,https://www.mgsm.pl/pl/katalog/Apple/iPhone4S8GB/,null
33,Alcatel,1060,6958026831457,poniżej 512 MB,null,1,null,https://www.mgsm.pl/pl/katalog/Alcatel/1060/,https://www.euro.com.pl/telefony-komorkowe/alcatel-onetouch-ot-1060-czarny.bhtml#afterSearch-6958026831457||||product
34,Nokia,Lumia 1320,6438158642447,1 GB,8 GB,1,null,https://www.mgsm.pl/pl/katalog/Nokia/Lumia1320/,https://www.euro.com.pl/telefony-komorkowe/nokia-lumia-1320-zolty.bhtml#afterSearch-6438158642447||||product
35,Nokia,Lumia 1320,6438158642430,1 GB,8 GB,1,null,https://www.mgsm.pl/pl/katalog/Nokia/Lumia1320/,https://www.euro.com.pl/telefony-komorkowe/nokia-lumia-1320-czarny.bhtml#afterSearch-6438158642430||||product
36,Kruger&Matz,Mist,5901890009539,null,null,null,null,https://www.mgsm.pl/pl/katalog/Kruger&Matz/Mist/,null
37,Kruger&Matz,Move,5901436787433,0.5 GB,4 GB,2,null,https://www.mgsm.pl/pl/katalog/Kruger&Matz/Move/,https://www.euro.com.pl/telefony-komorkowe/kruger-matz-move-km0402-czarno-srebrny.bhtml#afterSearch-5901436787433||||product
38,Evolveo,StrongPhone Q4,8594161335511,1 GB,4 GB,2,null,https://www.mgsm.pl/pl/katalog/Evolveo/StrongPhoneQ4/,https://www.euro.com.pl/telefony-komorkowe/evolveo-strongphone-q4.bhtml#afterSearch-8594161335511||||product
39,Prestigio,MultiPhone 5500 DUO,8595248118607,null,null,null,null,https://www.mgsm.pl/pl/katalog/Prestigio/MultiPhone5500DUO/,null
40,Huawei,Honor 3C,6901443021451,2 GB,8 GB,2,null,https://www.mgsm.pl/pl/katalog/Huawei/Honor3C/,https://www.euro.com.pl/telefony-komorkowe/honor-3c-bialy.bhtml#afterSearch-6901443021451||||product
41,Huawei,Honor 3C,6901443021444,2 GB,8 GB,2,null,https://www.mgsm.pl/pl/katalog/Huawei/Honor3C/,https://www.euro.com.pl/telefony-komorkowe/honor-3c-szary.bhtml#afterSearch-6901443021444||||product
42,Alcatel,One Touch Pop C5,4894461063485,0.5 GB,4 GB,2,null,https://www.mgsm.pl/pl/katalog/Alcatel/OneTouchPopC5/,https://www.euro.com.pl/telefony-komorkowe/alcatel-one-touch-5036d.bhtml#afterSearch-4894461063485||||product
43,Alcatel,One Touch Pop C3,4894461158358,null,null,null,null,https://www.mgsm.pl/pl/katalog/Alcatel/OneTouchPopC3/,null
44,Alcatel,One Touch Pop C3,4894461158327,null,null,null,null,https://www.mgsm.pl/pl/katalog/Alcatel/OneTouchPopC3/,null
45,Alcatel,One Touch 5036D,4894461063478,null,null,null,null,https://www.mgsm.pl/pl/katalog/Alcatel/OneTouch5036D/,null
46,myPhone,One,5900495261212,poniżej 512 MB,null,1,null,https://www.mgsm.pl/pl/katalog/myPhone/One/,https://www.euro.com.pl/telefony-komorkowe/myphone-one-niebieski.bhtml#afterSearch-5900495261212||||product
47,myPhone,One,5900495255846,null,null,null,null,https://www.mgsm.pl/pl/katalog/myPhone/One/,null
48,myPhone,One,5900495255853,null,null,1,null,https://www.mgsm.pl/pl/katalog/myPhone/One/,https://www.euro.com.pl/telefony-komorkowe/myphone-one-bialy.bhtml#afterSearch-5900495255853||||product
49,myPhone,One,5900495275875,null,null,1,null,https://www.mgsm.pl/pl/katalog/myPhone/One/,https://www.euro.com.pl/telefony-komorkowe/myphone-one-czerwony.bhtml#afterSearch-5900495275875||||product
50,myPhone,Hammer,5900495264459,poniżej 512 MB,32 MB,2,null,https://www.mgsm.pl/pl/katalog/myPhone/Hammer/,https://www.euro.com.pl/telefony-komorkowe/myphone-hammer-czarny.bhtml#afterSearch-5900495264459||||product
51,myPhone,Hammer,5900495255518,null,null,null,null,https://www.mgsm.pl/pl/katalog/myPhone/Hammer/,null
52,Sony,Xperia Z1 Compact,7311271457633,2 GB,16 GB,1,null,https://www.mgsm.pl/pl/katalog/Sony/XperiaZ1Compact/,https://www.euro.com.pl/telefony-komorkowe/sony-xperia-z1-compact-czarny.bhtml#afterSearch-7311271457633||||product
53,Sony,Xperia Z1 Compact,7311271457619,2 GB,16 GB,1,null,https://www.mgsm.pl/pl/katalog/Sony/XperiaZ1Compact/,https://www.euro.com.pl/telefony-komorkowe/sony-xperia-z1-compact-limonkowy.bhtml#afterSearch-7311271457619||||product
54,Sony,Xperia Z1 Compact,7311271460053,2 GB,16 GB,1,null,https://www.mgsm.pl/pl/katalog/Sony/XperiaZ1Compact/,https://www.euro.com.pl/telefony-komorkowe/sony-xperia-z1-compact-rozowy.bhtml#afterSearch-7311271460053||||product
55,Asus,ZenFone 5,4712900985047,4 GB,64 GB,2,null,https://www.mgsm.pl/pl/katalog/Asus/ZenFone5/,https://www.euro.com.pl/telefony-komorkowe/asus-zenfone-5-ze620kl-niebieski.bhtml#afterSearch-4712900985047||||product
56,CAT,B15,5060280960444,0.5 GB,4 GB,2,null,https://www.mgsm.pl/pl/katalog/CAT/B15/,https://www.euro.com.pl/telefony-komorkowe/cat-b15.bhtml#afterSearch-5060280960444||||product
57,CAT,B100,5060280961342,poniżej 512 MB,128 MB,1,null,https://www.mgsm.pl/pl/katalog/CAT/B100/,https://www.euro.com.pl/telefony-komorkowe/cat-b100.bhtml#afterSearch-5060280961342||||product
58,CAT,B25,5060280964329,null,null,null,null,https://www.mgsm.pl/pl/katalog/CAT/B25/,null
59,CAT,B25,50602809643294,null,null,null,null,https://www.mgsm.pl/pl/katalog/CAT/B25/,null
60,Samsung,Galaxy Grand Neo,8806086121750,1 GB,8 GB,2,null,https://www.mgsm.pl/pl/katalog/Samsung/GalaxyGrandNeo/,https://www.euro.com.pl/telefony-komorkowe/samsung-galaxy-grand-neo-gt-i9060-czarny_1.bhtml#afterSearch-8806086121750||||product
61,Alcatel,One Touch Pop C9,4894461165448,1 GB,4 GB,2,null,https://www.mgsm.pl/pl/katalog/Alcatel/OneTouchPopC9/,https://www.euro.com.pl/telefony-komorkowe/alcatel-pop-c9-7047d-bialy.bhtml#afterSearch-4894461165448||||product
62,Alcatel,One Touch Pop C9,4894461165479,null,null,null,null,https://www.mgsm.pl/pl/katalog/Alcatel/OneTouchPopC9/,null
63,Alcatel,One Touch Pop C7 Dual,4894461099293,null,null,null,null,https://www.mgsm.pl/pl/katalog/Alcatel/OneTouchPopC7Dual/,null
64,Alcatel,One Touch Pop C7 Dual,4894461099309,0.5 GB,4 GB,2,null,https://www.mgsm.pl/pl/katalog/Alcatel/OneTouchPopC7Dual/,https://www.euro.com.pl/telefony-komorkowe/alcatel-one-touch-pop-c7-7041d-czarny.bhtml#afterSearch-4894461099309||||product
65,HTC,Desire 310,4718487647583,null,null,null,null,https://www.mgsm.pl/pl/katalog/HTC/Desire310/,null
66,Samsung,Galaxy Grand 2 LTE,8806086120883,1.5 GB,8 GB,1,null,https://www.mgsm.pl/pl/katalog/Samsung/GalaxyGrand2LTE/,https://www.euro.com.pl/telefony-komorkowe/samsung-galaxy-grand-2-sm-g7105-niebieski.bhtml#afterSearch-8806086120883||||product
67,Huawei,Ascend Y530,6920702798910,0.5 GB,4 GB,1,null,https://www.mgsm.pl/pl/katalog/Huawei/AscendY530/,https://www.euro.com.pl/telefony-komorkowe/huawei-ascend-y530-bialy.bhtml#afterSearch-6920702798910||||product
68,Samsung,GT-S5611,8806085942189,null,null,null,null,null,null
69,Samsung,GT-S5611,8806085942240,poniżej 512 MB,256 MB,1,null,null,https://www.euro.com.pl/telefony-komorkowe/samsung-gt-s5611-srebrny.bhtml#afterSearch-8806085942240||||product
70,LG,G2 Mini,8806084951793,1 GB,8 GB,1,null,https://www.mgsm.pl/pl/katalog/LG/G2Mini/,https://www.euro.com.pl/telefony-komorkowe/lg-g2-mini-czarny.bhtml#afterSearch-8806084951793||||product
71,Samsung,Galaxy S5,8806086142922,null,null,null,null,https://www.mgsm.pl/pl/katalog/Samsung/GalaxyS5/,null
72,Samsung,Galaxy S5,8806086184366,null,null,null,null,https://www.mgsm.pl/pl/katalog/Samsung/GalaxyS5/,null
73,Samsung,Galaxy S5,8806086268509,2 GB,16 GB,1,null,https://www.mgsm.pl/pl/katalog/Samsung/GalaxyS5/,https://www.euro.com.pl/telefony-komorkowe/samsung-galaxy-s5-sm-g900f-zloty.bhtml#afterSearch-8806086268509||||product
74,Samsung,Galaxy S5,8806086157131,2 GB,16 GB,1,null,https://www.mgsm.pl/pl/katalog/Samsung/GalaxyS5/,https://www.euro.com.pl/telefony-komorkowe/samsung-galaxy-s5-g900f-czarny.bhtml#afterSearch-8806086157131||||product
75,Sony,Xperia Z2,7311271506034,3 GB,16 GB,1,null,https://www.mgsm.pl/pl/katalog/Sony/XperiaZ2/,https://www.euro.com.pl/telefony-komorkowe/sony-xperia-z2-bialy.bhtml#afterSearch-7311271506034||||product
76,Sony,Xperia Z2,7311271506010,3 GB,16 GB,1,null,https://www.mgsm.pl/pl/katalog/Sony/XperiaZ2/,https://www.euro.com.pl/telefony-komorkowe/sony-xperia-z2-fioletowy.bhtml#afterSearch-7311271506010||||product
77,Sony,Xperia Z2,7311271506027,null,null,null,null,https://www.mgsm.pl/pl/katalog/Sony/XperiaZ2/,null
78,Nokia,220 Dual SIM,6438158651197,null,null,null,null,https://www.mgsm.pl/pl/katalog/Nokia/220DualSIM/,null
79,Nokia,220 Dual SIM,6438158651258,poniżej 512 MB,null,2,null,https://www.mgsm.pl/pl/katalog/Nokia/220DualSIM/,https://www.euro.com.pl/telefony-komorkowe/nokia-220-dual-sim-bialy.bhtml#afterSearch-6438158651258||||product
80,Nokia,220 Dual SIM,6438158651241,poniżej 512 MB,null,2,null,https://www.mgsm.pl/pl/katalog/Nokia/220DualSIM/,https://www.euro.com.pl/telefony-komorkowe/nokia-220-dual-sim-czerwony.bhtml#afterSearch-6438158651241||||product
81,Nokia,220 Dual SIM,6438158651265,poniżej 512 MB,null,2,null,https://www.mgsm.pl/pl/katalog/Nokia/220DualSIM/,https://www.euro.com.pl/telefony-komorkowe/nokia-220-dual-sim-zolty.bhtml#afterSearch-6438158651265||||product
82,Sony,Xperia M2 LTE,7311271462002,null,null,null,null,https://www.mgsm.pl/pl/katalog/Sony/XperiaM2LTE/,null
83,HTC,Desire 610,4718487649549,1 GB,8 GB,1,null,https://www.mgsm.pl/pl/katalog/HTC/Desire610/,https://www.euro.com.pl/telefony-komorkowe/htc-desire-610-granatowy.bhtml#afterSearch-4718487649549||||product
84,LG,F70,8806084964342,1 GB,4 GB,1,null,https://www.mgsm.pl/pl/katalog/LG/F70/,https://www.euro.com.pl/telefony-komorkowe/lg-f70-bialy.bhtml#afterSearch-8806084964342||||product
85,Samsung,Galaxy S III mini VE,8806086083164,null,null,null,null,https://www.mgsm.pl/pl/katalog/Samsung/GalaxySIIIminiVE/,null
86,Samsung,Galaxy S III mini VE,8806086083201,null,8 GB,1,null,https://www.mgsm.pl/pl/katalog/Samsung/GalaxySIIIminiVE/,https://www.euro.com.pl/telefony-komorkowe/samsung-galaxy-s-iii-mini-ve-gt-i8200-bialy.bhtml#afterSearch-8806086083201||||product
87,Samsung,Galaxy S III mini VE,8806086084604,null,8 GB,1,null,https://www.mgsm.pl/pl/katalog/Samsung/GalaxySIIIminiVE/,https://www.euro.com.pl/telefony-komorkowe/samsung-galaxy-s-iii-mini-ve-gt-i8200-szary.bhtml#afterSearch-8806086084604||||product
88,HTC,One M8,4718487646548,null,null,null,null,https://www.mgsm.pl/pl/katalog/HTC/OneM8/,null
89,HTC,One M8,4718487646531,2 GB,16 GB,1,null,https://www.mgsm.pl/pl/katalog/HTC/OneM8/,https://www.euro.com.pl/telefony-komorkowe/htc-one-m8.bhtml#afterSearch-4718487646531||||product
90,myPhone,Cube,5902052860814,1 GB,16 GB,2,null,https://www.mgsm.pl/pl/katalog/myPhone/Cube/,https://www.euro.com.pl/telefony-komorkowe/myphone-cube-16gb.bhtml#afterSearch-5902052860814||||product
91,Yota Devices,YotaPhone Next,4627080310513,null,null,null,null,null,null
92,Gigabyte,Rey R3,4712364758775,1 GB,4 GB,2,null,https://www.mgsm.pl/pl/katalog/Gigabyte/ReyR3/,https://www.euro.com.pl/telefony-komorkowe/gsmart-rey-r3-czarny.bhtml#afterSearch-4712364758775||||product
93,Wiko,Darkmoon,6943279404381,null,null,null,null,https://www.mgsm.pl/pl/katalog/Wiko/Darkmoon/,null
94,Wiko,Kar 3,6297000512525,poniżej 512 MB,null,2,null,https://www.mgsm.pl/pl/katalog/Wiko/Kar3/,https://www.euro.com.pl/telefony-komorkowe/wiko-mobile-kar3-bialy.bhtml#afterSearch-6297000512525||||product
95,Nokia,Lumia 630 Dual SIM,6438158658776,null,null,null,null,https://www.mgsm.pl/pl/katalog/Nokia/Lumia630DualSIM/,null
96,Nokia,Lumia 630 Dual SIM,6438158658424,0.5 GB,8 GB,2,null,https://www.mgsm.pl/pl/katalog/Nokia/Lumia630DualSIM/,https://www.euro.com.pl/telefony-komorkowe/nokia-lumia-630-dual-sim-zielony.bhtml#afterSearch-6438158658424||||product
97,Nokia,Lumia 930,6438158670624,2 GB,32 GB,1,null,https://www.mgsm.pl/pl/katalog/Nokia/Lumia930/,https://www.euro.com.pl/telefony-komorkowe/nokia-lumia-930-bialy.bhtml#afterSearch-6438158670624||||product
98,Nokia,Lumia 930,6438158670617,2 GB,32 GB,1,null,https://www.mgsm.pl/pl/katalog/Nokia/Lumia930/,https://www.euro.com.pl/telefony-komorkowe/nokia-lumia-930-zielony.bhtml#afterSearch-6438158670617||||product
99,Nokia,Lumia 930,6438158714151,2 GB,32 GB,1,null,https://www.mgsm.pl/pl/katalog/Nokia/Lumia930/,https://www.euro.com.pl/telefony-komorkowe/microsoft-lumia-930-bialo-zloty.bhtml#afterSearch-6438158714151||||product
100,Nokia,Lumia 930,6438158670600,null,null,null,null,https://www.mgsm.pl/pl/katalog/Nokia/Lumia930/,null
101,Nokia,Lumia 930,6438158689312,2 GB,32 GB,1,null,https://www.mgsm.pl/pl/katalog/Nokia/Lumia930/,https://www.euro.com.pl/telefony-komorkowe/microsoft-lumia-930-pomaranczowy.bhtml#afterSearch-6438158689312||||product
102,Nokia,Lumia 930,6438158714144,2 GB,32 GB,1,null,https://www.mgsm.pl/pl/katalog/Nokia/Lumia930/,https://www.euro.com.pl/telefony-komorkowe/microsoft-lumia-930-czarno-zloty.bhtml#afterSearch-6438158714144||||product
103,Nokia,225 Dual SIM,6438158662032,poniżej 512 MB,null,2,null,https://www.mgsm.pl/pl/katalog/Nokia/225DualSIM/,https://www.euro.com.pl/telefony-komorkowe/nokia-225-dual-sim-czarny.bhtml#afterSearch-6438158662032||||product
104,Nokia,225 Dual SIM,6438158668386,poniżej 512 MB,null,2,null,https://www.mgsm.pl/pl/katalog/Nokia/225DualSIM/,https://www.euro.com.pl/telefony-komorkowe/nokia-225-dual-sim-zielony.bhtml#afterSearch-6438158668386||||product
105,Nokia,225 Dual SIM,6438158662049,poniżej 512 MB,null,2,null,https://www.mgsm.pl/pl/katalog/Nokia/225DualSIM/,https://www.euro.com.pl/telefony-komorkowe/nokia-225-dual-sim-zolty.bhtml#afterSearch-6438158662049||||product
106,Wiko,Rainbow,6297000512556,1 GB,4 GB,2,null,https://www.mgsm.pl/pl/katalog/Wiko/Rainbow/,https://www.euro.com.pl/telefony-komorkowe/wiko-mobile-rainbow-czarny.bhtml#afterSearch-6297000512556||||product
107,Huawei,Ascend Y600 Dual SIM,6901443056347,null,null,null,null,https://www.mgsm.pl/pl/katalog/Huawei/AscendY600DualSIM/,null
108,Huawei,Ascend Y600 Dual SIM,6901443056354,0.5 GB,4 GB,2,null,https://www.mgsm.pl/pl/katalog/Huawei/AscendY600DualSIM/,https://www.euro.com.pl/telefony-komorkowe/huawei-y600-bialy.bhtml#afterSearch-6901443056354||||product
109,LG,L65,8806084962744,null,null,null,null,https://www.mgsm.pl/pl/katalog/LG/L65/,null
110,LG,L65,8806084960627,null,null,null,null,https://www.mgsm.pl/pl/katalog/LG/L65/,null
111,MaxCom,MM131,5908235972831,poniżej 512 MB,null,2,null,https://www.mgsm.pl/pl/katalog/MaxCom/MM131/,https://www.euro.com.pl/telefony-komorkowe/maxcom-mm131-dual-sim.bhtml#afterSearch-5908235972831||||product
112,Kruger&Matz,Soul,5901890004039,null,null,null,null,https://www.mgsm.pl/pl/katalog/Kruger&Matz/Soul/,null
113,HTC,Desire 310 Dual SIM,4718487647576,1 GB,4 GB,1,null,https://www.mgsm.pl/pl/katalog/HTC/Desire310DualSIM/,https://www.euro.com.pl/telefony-komorkowe/htc-desire-310-ciemnoniebieski.bhtml#afterSearch-4718487647576||||product
114,Allview,S6 Style,5948790004875,poniżej 512 MB,16 MB,2,null,https://www.mgsm.pl/pl/katalog/Allview/S6Style/,https://www.euro.com.pl/telefony-komorkowe/allview-s6-style-zloty.bhtml#afterSearch-5948790004875||||product
115,Allview,S6 Style,5948790004851,poniżej 512 MB,16 MB,2,null,https://www.mgsm.pl/pl/katalog/Allview/S6Style/,https://www.euro.com.pl/telefony-komorkowe/allview-s6-style-bialy.bhtml#afterSearch-5948790004851||||product
116,Allview,A5 Smiley,5948790004837,0.5 GB,4 GB,2,null,https://www.mgsm.pl/pl/katalog/Allview/A5Smiley/,https://www.euro.com.pl/telefony-komorkowe/allview-a5-smiley-czarny.bhtml#afterSearch-5948790004837||||product
117,Allview,A5 Smiley,5948790004844,0.5 GB,4 GB,2,null,https://www.mgsm.pl/pl/katalog/Allview/A5Smiley/,https://www.euro.com.pl/telefony-komorkowe/allview-a5-smiley.bhtml#afterSearch-5948790004844||||product
118,Allview,A4 You,5948790004813,0.5 GB,4 GB,2,null,https://www.mgsm.pl/pl/katalog/Allview/A4You/,https://www.euro.com.pl/telefony-komorkowe/allview-a4-you-czarny.bhtml#afterSearch-5948790004813||||product
119,Allview,A4 You,5948790004820,0.5 GB,4 GB,2,null,https://www.mgsm.pl/pl/katalog/Allview/A4You/,https://www.euro.com.pl/telefony-komorkowe/allview-a4-you-bialy.bhtml#afterSearch-5948790004820||||product
120,Huawei,Ascend P7,6901443004843,2 GB,16 GB,1,null,https://www.mgsm.pl/pl/katalog/Huawei/AscendP7/,https://www.euro.com.pl/telefony-komorkowe/huawei-ascend-p7-bialy.bhtml#afterSearch-6901443004843||||product
121,Huawei,Ascend P7,6901443004836,null,null,null,null,https://www.mgsm.pl/pl/katalog/Huawei/AscendP7/,null
122,Motorola,Moto E,6947681517806,null,null,null,null,https://www.mgsm.pl/pl/katalog/Motorola/MotoE/,null
123,Motorola,Moto E,6947681517790,null,null,null,null,https://www.mgsm.pl/pl/katalog/Motorola/MotoE/,null
124,Motorola,Moto G LTE,6947681518728,1 GB,8 GB,1,null,https://www.mgsm.pl/pl/katalog/Motorola/MotoGLTE/,https://www.euro.com.pl/telefony-komorkowe/motorola-moto-g-lte-czarny.bhtml#afterSearch-6947681518728||||product
125,Prestigio,MultiPhone 5507 DUO,8595248127081,null,null,null,null,https://www.mgsm.pl/pl/katalog/Prestigio/MultiPhone5507DUO/,null
126,Prestigio,MultiPhone 5507 DUO,8595248127098,null,null,null,null,https://www.mgsm.pl/pl/katalog/Prestigio/MultiPhone5507DUO/,null
127,Allview,V1 Viper I,5948790005087,1 GB,8 GB,2,null,https://www.mgsm.pl/pl/katalog/Allview/V1ViperI/,https://www.euro.com.pl/telefony-komorkowe/allview-v1-viper-i-bialy.bhtml#afterSearch-5948790005087||||product
128,Allview,V1 Viper I,5948790005797,1 GB,8 GB,2,null,https://www.mgsm.pl/pl/katalog/Allview/V1ViperI/,https://www.euro.com.pl/telefony-komorkowe/allview-v1-viper-i-zolty.bhtml#afterSearch-5948790005797||||product
129,Allview,V1 Viper I,5948790005070,1 GB,8 GB,2,null,https://www.mgsm.pl/pl/katalog/Allview/V1ViperI/,https://www.euro.com.pl/telefony-komorkowe/allview-v1-viper-i-czarny.bhtml#afterSearch-5948790005070||||product
130,Allview,V1 Viper I,5948790005780,null,null,null,null,https://www.mgsm.pl/pl/katalog/Allview/V1ViperI/,null
131,Allview,V1 Viper I,5948790005773,1 GB,8 GB,2,null,https://www.mgsm.pl/pl/katalog/Allview/V1ViperI/,https://www.euro.com.pl/telefony-komorkowe/allview-v1-viper-i-niebieski.bhtml#afterSearch-5948790005773||||product
132,HTC,One mini 2,4718487653607,1 GB,16 GB,1,null,https://www.mgsm.pl/pl/katalog/HTC/Onemini2/,https://www.euro.com.pl/telefony-komorkowe/htc-one-mini-2-szary.bhtml#afterSearch-4718487653607||||product
133,Kazam,Trooper2 6.0,5060370510702,null,null,null,null,https://www.mgsm.pl/pl/katalog/Kazam/Trooper26.0,null
134,Allview,E2 Living,5948790005247,0.5 GB,4 GB,2,null,https://www.mgsm.pl/pl/katalog/Allview/E2Living/,https://www.euro.com.pl/telefony-komorkowe/allview-e2-living.bhtml#afterSearch-5948790005247||||product
135,Allview,P6 Life,5948790005063,1 GB,8 GB,2,null,https://www.mgsm.pl/pl/katalog/Allview/P6Life/,https://www.euro.com.pl/telefony-komorkowe/allview-p6-life.bhtml#afterSearch-5948790005063||||product
136,Allview,X2 Soul,5948790005681,2 GB,16 GB,2,null,https://www.mgsm.pl/pl/katalog/Allview/X2Soul/,https://www.euro.com.pl/telefony-komorkowe/allview-x2-soul-bialy.bhtml#afterSearch-5948790005681||||product
137,Allview,X2 Soul,5948790005094,null,null,null,null,https://www.mgsm.pl/pl/katalog/Allview/X2Soul/,null
138,MaxCom,MM432,5908235972862,null,null,1,null,https://www.mgsm.pl/pl/katalog/MaxCom/MM432/,https://www.euro.com.pl/telefony-komorkowe/maxcom-mm432bb.bhtml#afterSearch-5908235972862||||product
139,LG,G3,8806084961037,2 GB,16 GB,1,null,https://www.mgsm.pl/pl/katalog/LG/G3/,https://www.euro.com.pl/telefony-komorkowe/lg-g3-bialy.bhtml#afterSearch-8806084961037||||product
140,LG,G3,8806084961020,2 GB,16 GB,1,null,https://www.mgsm.pl/pl/katalog/LG/G3/,https://www.euro.com.pl/telefony-komorkowe/lg-g3-zloty.bhtml#afterSearch-8806084961020||||product
141,LG,G3,8806084958235,null,null,null,null,https://www.mgsm.pl/pl/katalog/LG/G3/,null
142,LG,G3,8806084970138,null,null,null,null,https://www.mgsm.pl/pl/katalog/LG/G3/,null
